"","depth_m","cond_uscm","pH","temp_C","direction"
"2014",285.36,6107,11.52,42.55,"Descending"
"2015",285.37,6111,11.53,42.55,"Descending"
"2016",285.36,6114,11.52,42.55,"Descending"
"2017",285.37,6110,11.52,42.55,"Descending"
"2018",285.37,6110,11.51,42.55,"Descending"
"2019",285.37,6111,11.52,42.56,"Descending"
"2020",285.37,6107,11.52,42.55,"Descending"
"2021",285.37,6110,11.53,42.55,"Descending"
"2022",285.37,6113,11.52,42.55,"Descending"
"2023",285.37,6106,11.52,42.55,"Descending"
"2024",285.37,6112,11.52,42.56,"Descending"
"2025",285.36,6108,11.52,42.55,"Descending"
"2026",285.35,6117,11.52,42.55,"Descending"
"2027",285.35,6112,11.52,42.55,"Descending"
"2028",285.37,6104,11.52,42.56,"Descending"
"2029",285.37,6106,11.52,42.55,"Descending"
"2030",285.37,6109,11.53,42.55,"Descending"
"2031",285.37,6110,11.52,42.56,"Descending"
"2032",285.37,6114,11.52,42.56,"Descending"
"2033",285.37,6110,11.52,42.55,"Descending"
"2034",285.37,6108,11.52,42.56,"Descending"
"2035",285.37,6111,11.52,42.56,"Descending"
"2036",285.37,6107,11.52,42.55,"Descending"
"2037",285.36,6110,11.53,42.56,"Descending"
"2038",285.38,6106,11.52,42.55,"Descending"
"2039",285.35,6109,11.52,42.55,"Descending"
"2040",285.36,6104,11.52,42.55,"Descending"
"2041",285.37,6110,11.52,42.56,"Descending"
"2042",285.37,6105,11.51,42.55,"Descending"
"2043",285.37,6108,11.52,42.55,"Descending"
"2044",285.37,6110,11.52,42.55,"Descending"
"2045",285.37,6110,11.52,42.56,"Descending"
"2046",285.37,6108,11.52,42.55,"Descending"
"2047",285.37,6106,11.52,42.56,"Descending"
"2048",285.36,6111,11.52,42.56,"Descending"
"2049",285.36,6107,11.52,42.55,"Descending"
"2050",285.36,6106,11.52,42.55,"Descending"
"2051",285.36,6106,11.52,42.55,"Descending"
"2052",285.36,6108,11.52,42.56,"Descending"
"2053",285.35,6112,11.52,42.55,"Descending"
"2054",285.36,6107,11.52,42.55,"Descending"
"2055",285.38,6108,11.52,42.55,"Descending"
"2056",285.36,6108,11.52,42.55,"Descending"
"2057",285.36,6104,11.52,42.55,"Descending"
"2058",285.35,6109,11.52,42.56,"Descending"
"2059",285.36,6113,11.52,42.56,"Descending"
"2060",285.37,6109,11.52,42.56,"Descending"
"2061",285.37,6109,11.52,42.56,"Descending"
"2062",285.36,6108,11.52,42.56,"Descending"
"2063",285.35,6108,11.52,42.56,"Descending"
"2064",285.36,6109,11.52,42.55,"Descending"
"2065",285.37,6106,11.52,42.56,"Descending"
"2066",285.36,6107,11.52,42.56,"Descending"
"2067",285.38,6108,11.52,42.56,"Descending"
"2068",285.37,6110,11.52,42.55,"Descending"
"2069",285.36,6109,11.52,42.56,"Descending"
"2070",285.38,6110,11.52,42.56,"Descending"
"2071",285.36,6108,11.52,42.56,"Descending"
"2072",285.37,6110,11.52,42.56,"Descending"
"2073",285.37,6112,11.52,42.56,"Descending"
"2074",285.37,6106,11.52,42.56,"Descending"
"2075",285.37,6110,11.52,42.56,"Descending"
"2076",285.39,6106,11.52,42.55,"Descending"
"2077",285.38,6109,11.52,42.56,"Ascending"
"2078",285.37,6110,11.52,42.55,"Ascending"
"2079",285.37,6108,11.52,42.56,"Ascending"
"2080",285.35,6108,11.52,42.56,"Ascending"
"2081",285.36,6109,11.52,42.56,"Ascending"
"2082",285.37,6109,11.52,42.56,"Ascending"
"2083",285.37,6111,11.52,42.56,"Ascending"
"2084",285.37,6108,11.52,42.55,"Ascending"
